202, Kiiev, 50.4501, 30.5234
203, Kiiu Harjumaa, 59.4187, 25.2271
204, Kiiu vald Harjumaa, 59.4935, 25.3372
205, Kiiuma vald Vorumaa, 57.7983, 27.1007
206, Kilingi vald Parnumaa, 58.1577, 24.9679
207, Kilingi-Nõmme Pärnumaa, 58.15234, 24.963
208, Kirbla, 58.960, 23.891
209, Kirepi vald Tartumaa, 58.0869, 26.1504
210, Kloostri vald Harjumaa, 59.3546, 25.0101
211, Kloostri vald Läänemaa, 58.944, 23.607
212, Kodasoo vald Harjumaa, 59.4425, 24.87948
213, Kogula vald Saaremaa, 58.1763, 22.2782
214, Kohila vald Harjumaa, 59.0122, 24.7592
215, Kohtla vald Virumaa, 59.3807, 27.2991
216, Kohtla Virumaa, 59.3377, 27.2747
217, Kohtla-Järve vald, 59.377, 27.266
218, Koigi vald Järvamaa, 58.93649, 25.62204
219, Koiguste vald Saaremaa, 58.3854864, 22.9027966
220, Koikkula vald Valgamaa, 57.8167, 26.0888
221, Koiola Vorumaa, 57.8042, 27.2843
222, Koiola vald Võrumaa, 57.725, 27.098
223, Kokora vald Tartumaa, 58.3245, 27.0032
224, Kolga Harjumaa, 59.4125, 25.5206
225, Kolga Jaani Viljandimaa, 58.5396, 25.5165
226, Kolga vald Harjumaa, 59.4877, 25.7937
227, Kolleste vald Vorumaa, 57.8753, 27.1722
228, Kolleste Võrumaa, 57.775, 27.036
229, Koluvere vald Laanemaa, 58.8929, 23.6765
230, Koluvere, 58.547, 24.679
231, Konguta vald Tartumaa, 58.3293, 26.4874
232, Konnu vald Harjumaa, 59.0506, 25.4924
233, Konnu Harjumaa, 59.248, 24.695
234, Konstantiinovi vald Oudova maakond, 59.3581, 27.3195
235, Koo vald Viljandimaa, 58.3803, 25.7293
236, Koo, 58.244, 26.529
237, Koonga vald Pärnumaa, 58.51122, 23.82823
238, Koonga Pärnumaa, 58.476, 23.829
239, Kooraste Vorumaa, 57.8541, 27.1443
240, Kooraste vald Võrumaa, 57.8990, 26.9477
241, Koorküla vald Valgamaa, 57.7766, 26.0197
242, Koorküla vald Viljandimaa, 58.512, 25.415
243, Kose Harjumaa, 59.123, 24.870
244, Krabi vald Võrumaa, 57.8626, 26.6629
245, Kreenholm Narva, 59.3756, 28.2056
246, Krementšugis Venemaa, 53.9982, 37.7475
247, Krimm, 45.013, 34.963
248, Krivjakino Moskva kubermang, 56.5139, 36.8319
249, Kruudneri vald Tartumaa, 58.1947, 26.2641
250, Kubala vald Viljandimaa, 58.2885, 25.6258
251, Kudina vald Tartumaa, 58.5229, 27.1884
252, Kuigatsi vald Valgamaa, 58.0624, 26.0903
253, Kuigatsi vald Tartumaa, 58.361, 26.561
254, Kuigatsi Valgamaa, 57.7252, 26.1508
255, Kuivajõe vald Harjumaa, 59.22511, 24.63029
256, Kuivajõe Harjumaa, 59.173, 24.844
257, Kuivastu Muhumaa, 58.6136, 23.0988
258, Kuksemaa vald Järvamaa, 58.8236, 25.9121
259, Kukulinna mõis Tartumaa, 58.49056, 26.46395
260, Kulgu Narva, 59.3916, 28.1486
261, Kunda Virumaa, 59.4858, 26.5579
262, Kuremaa Tartumaa, 58.7797, 26.0472
263, Kuremaa vald Tartumaa, 58.7129, 26.1437
264, Kuressaare, 58.2484, 22.5039
265, Kurista vald Tartumaa, 58.2486, 26.2194
266, Kurista vald Viljandimaa, 58.6045, 25.7785
267, Kurista vald, 58.717, 24.829
268, Kuristja vald Viljandimaa, 58.6287, 25.6883
269, Kurna vald Harjumaa, 59.3047, 25.1103
270, Kurtna Harjumaa, 59.184, 25.943
271, Kuti mõis Virumaa, 59.0563, 26.3437
272, Kuti vald Virumaa, 59.1008, 26.3574
273, Kuuda mõis Läänemaa, 58.829, 23.928
274, Kuusalu kihelkond, 59.4471, 25.5833
275, Kärdla, 58.9972, 22.74922
276, Käsmu Virumaa, 59.593, 26.038
277, Kävilda vald Tartumaa, 58.516, 26.722
278, Kõnnu vald Harjumaa, 59.312, 24.536
279, Kõo Viljandimaa, 58.4052, 25.7918
280, Kõrgepalu Võrumaa, 57.7929, 27.0142
281, Kõrkküla Valgamaa, 57.8626, 26.1862
282, Kõrveküla Tartumaa, 58.05883, 26.42834
283, Laanemaa, 58.9626, 23.5633
284, Laanemetsa vald Valgamaa, 57.6844, 26.3637
285, Laanemetsa Võrumaa, 57.6769, 26.5798
286, Laatre vald Valgamaa, 57.8964, 25.7732
287, Laatre vald Pärnumaa, 58.0575, 24.8316
288, Laatre, 57.940, 26.217
289, Laatre Valgamaa, 57.967, 26.170
290, Laeva vald Tartumaa, 58.5131, 26.6502
291, Lahtru Laanemaa, 58.8572, 24.0522
292, Laiksaare vald Parnumaa, 58.025, 24.3931
293, Laiksaare vald Pärnumaa, 58.284, 24.409
294, Laimjala vald Saaremaa, 58.228, 22.788
295, Laius-Tahkvere vald Tartumaa, 58.7082, 26.4212
296, Laiuse vald Tartumaa, 58.9203, 26.2601
297, Laiuse Tartumaa, 58.721, 25.598
298, Lapua Pohja-Soome, 62.9689, 23.0097
299, Lasinurme Virumaa, 59.0145, 26.4506
300, Lasva vald Võrumaa, 57.657, 27.202
301, Laupa vald Järvamaa, 58.891, 25.454
302, Leebiku vald Valgamaa, 57.8233, 26.1199
303, Lehtse Jarvamaa, 59.1555, 25.9102
304, Lehtse vald Järvamaa, 59.3389, 26.0377
305, Leisi vald Saaremaa, 58.5269, 22.6826
306, Levala küla Saaremaa, 58.3129, 22.7041
307, Lihula Laanemaa, 58.6797, 23.8464
308, Lihula vald Läänemaa, 58.6848, 23.8263
309, Liibav, 56.48062, 21.01125
310, Liiva kortsis Luganuse klk., 59.39797, 27.57363
311, Lillenbachi mõis Narva, 59.3727, 28.1834
312, Linnamae vald Vorumaa, 57.7257, 27.0719
313, Livoonia eesti asunduses Põhja-Kaukaasia, 43.4232, 43.9617
314, Lohusuu vald Tartumaa, 58.6999, 27.0486
315, Lohusuu Tartumaa, 58.780, 27.133
316, Lokuta m. Järvamaa, 58.91248, 25.89646
317, Loo Harjumaa, 59.3958, 24.9184
318, Loodi vald Viljandimaa, 58.5489, 25.4691
319, Loona vald Saaremaa, 58.441, 22.401
320, Loona Saaremaa, 58.49123, 23.19258
321, Loopre mõis Viljandimaa, 58.2404, 25.7649
322, Loosi Vorumaa, 57.7053, 27.1407
323, Loosi vald Võrumaa, 57.6847, 26.9422
324, Love vald Valgamaa, 57.8160, 26.0848
325, Love Valgamaa, 57.6884, 26.1254
326, Luiste Laanemaa, 58.8322, 24.6867
327, Lumanda Saaremaa, 58.5374, 23.4316
328, Lumanda vald Saaremaa, 58.5427, 22.2162
329, Lustivere vald Viljandimaa, 58.740, 25.599
330, Luunja vald Tartumaa, 58.3609, 26.6309
331, Maasi Saaremaa, 58.3705, 22.3683
332, Maasi vald Saaremaa, 58.5566, 22.5527
665, Urvaste, 57.9039, 26.7181
333, Maetaguse vald Virumaa, 59.317, 27.070
334, Maetaguse Ida-Virumaa, 59.113, 27.151
335, Maetaguse Virumaa, 59.271, 27.304
336, Maksa mõis Tartumaa, 58.664, 26.753
337, Maksa vald Tartumaa, 58.0083, 26.3765
338, Manniku Voltveti Parnumaa, 58.315, 25.1242
339, Mao vald Järvamaa, 58.9421, 25.5089
340, Marienburg Latvia, 56.888, 24.356
341, Massu vald Läänemaa, 58.9942, 23.6948
342, Massu, 58.546, 24.849
343, Massu Läänemaa, 58.877, 24.120
344, Meeksi Vorumaa, 57.7044, 27.0377
345, Meeksi mõis Võrumaa, 58.160, 27.158
346, Meeksi vald Tartumaa, 58.584, 27.173
347, Meeri mõis Tartumaa, 58.493, 26.865
348, Meeri vald Tartumaa, 58.415, 26.476
349, Mehikoorma, 58.2657, 27.1452
350, Merimäe vald Petserimaa, 57.7454, 27.2241
351, Minsk Belarus, 53.9045, 27.5615
352, Moisekatsi vald Vorumaa, 57.8564, 27.0527
353, Moniste Võrumaa, 57.8789, 26.6213
354, Mooste vald Vorumaa, 58.1146, 27.0451
355, Mooste vald Võrumaa, 58.20168, 27.03867
356, Mooste, 58.165, 27.086
357, Moskva, 55.7512, 37.6184
358, Muhu Suurvald, 58.5952, 23.251
359, Muhu, 58.5708, 23.1923
360, Muhu-Hellamaa vald Saaremaa, 58.607, 23.324
361, Muhu-Hellamaa, 58.6124, 23.1639
362, Muhu-Suure vald, 58.6177, 23.2506
363, Muhu-Suurevalla vald Saaremaa, 58.622, 23.123
364, Muhumaa, 58.589, 23.0544
365, Mustajõe vald Virumaa, 59.313, 26.630
366, Mustjala vald Saaremaa, 58.3162, 22.6564
367, Mustjala Saaremaa, 58.204, 22.643
368, Mustvee Tartumaa, 58.8515, 26.956
369, Mustvee, 58.8971, 26.93642
370, Mõniste vald Võrumaa, 57.902, 26.894
371, Nabala vald Harjumaa, 59.226, 24.879
372, Naissaar Harjumaa, 59.50119, 24.85574
373, Narva (Kreenholm), 59.37707, 28.19718
374, Narva Joala Virumaa, 59.3481, 28.1722
375, Narva, 59.3772, 28.1901
376, Narva-Jõesuu, 59.4612, 28.0334
377, Noarootsi, 59.0462, 23.4563
378, Nursi vald Võrumaa, 57.7151, 27.0965
379, Nõmme küla Järvamaa, 58.880, 25.540
380, Oisu mõis Järvamaa, 58.917, 25.408
381, Oisu mõis Viljandimaa, 58.352, 25.438
382, Oisu vald Viljandimaa, 58.343, 25.379
383, Ojasoo mõis Harjumaa, 59.2631, 24.7318
384, Olustvere vald Viljandimaa, 58.6566, 25.6871
385, Olustvere, 58.724, 25.896
386, Oomuli vald Valgamaa, 57.704, 26.193
387, Orajõe vald Pärnumaa, 58.4337, 25.3711
388, Oranienbaum Peterburi kubermang, 59.94007, 29.78202
389, Orava mõis Võrumaa, 57.651, 27.428
390, Orava vald Võrumaa, 57.95621, 26.60489
391, Orelli kubermang Venemaa, 58.9749, 28.8689
392, Oru vald Läänemaa, 59.0918, 23.6007
393, Otepaa Tartumaa, 58.0529, 26.4975
394, Otepaa, 58.0567, 26.4975
395, Otepää vald Tartumaa, 58.0615, 26.4904
396, Otsa talu Põltsamaa, 58.633, 26.880
397, Oudova, 59.180, 27.320
398, Paadla vald Saaremaa, 58.5173, 22.1205
399, Paadremaa vald Laanemaa, 58.9387, 23.872
400, Paadremaa vald Läänemaa, 58.87367, 24.21786
401, Paadremaa Läänemaa, 58.9013, 23.8738
402, Paasvere Virumaa, 59.2446, 26.4092
403, Paasvere mõis Virumaa, 59.199, 26.202
404, Paasvere vald Virumaa, 59.2106, 26.3762
405, Paatsalu vald Läänemaa, 58.72721, 23.85658
406, Pada vald Virumaa, 59.0318, 26.7263
407, Paide, 58.8831, 25.5578
408, Paidla vald Tartumaa, 58.3786, 26.6187
409, Paidla-Neeruti vald Tartumaa, 58.610, 26.232
410, Pajusi vald Viljandimaa, 58.4514, 26.419
411, Pala Tartumaa, 58.5219, 27.1376
412, Pala mõis Tartumaa, 58.700, 26.879
413, Pala vald Tartumaa, 58.581, 26.875
414, Palamuse Tartumaa, 58.7718, 26.2399
415, Paldiski, 59.3490, 24.0491
416, Palivere vald Laanemaa, 58.9615, 23.8253
417, Palmse vald Virumaa, 59.54942, 26.24992
418, Palmse, 59.530, 26.310
419, Palmse Virumaa, 59.460, 26.300
420, Palu vald Järvamaa, 58.9858, 25.6699
421, Palupera Tartumaa, 58.0915, 26.2221
422, Palupera vald Tartumaa, 58.0316, 26.0738
423, Pangodi Tartumaa, 58.5319, 26.8827
424, Pangodi vald Tartumaa, 58.5319, 26.8827
425, Pari vald Viljandimaa, 58.3633, 25.4225
426, Parnu, 58.3854, 24.4965
427, Parsamaa vald Saaremaa, 58.303, 22.653
428, Parsamaa Saaremaa, 58.594, 22.011
429, Pati Parnumaa, 58.6226, 24.4041
430, Pati vald Parnumaa, 58.1823, 24.7533
431, Patkula vald Valgamaa, 57.8623, 26.0616
432, Peetri Virumaa, 59.3945, 24.8364
433, Peningi Harjumaa, 59.2621, 25.2462
434, Peningi vald Harjumaa, 59.08185, 24.20258
435, Penuja vald Pärnumaa, 58.09652, 24.6925
436, Peri Vorumaa, 57.6826, 27.2629
437, Peri vald Tartumaa, 58.191, 26.380
438, Peri vald Võrumaa, 57.765, 26.487
439, Perila mõis Harjumaa, 59.4144, 24.5306
440, Peterburg venemaa, 59.9343, 30.3351
441, Peterburg, 59.9343, 30.3351
442, Peterburi kub., 59.93995, 30.31532
443, Peterburi, 59.939, 30.315
444, Peterburi Venemaa, 59.9375, 30.3086
445, Petserimaa Võrumaa, 57.566, 27.264
446, Pihkva kubermang Venemaa, 57.8157, 27.6338
447, Pihtla vald Saaremaa, 58.307, 22.580
448, Piirsalu vald Järvamaa, 58.7980, 24.6530
449, Pilistvere Viljandimaa, 58.46633, 25.74057
450, Pilkuse vald Tartumaa, 58.3497, 26.6467
451, Pindi mõis Võrumaa, 57.842, 27.192
452, Poide kihelkond, 58.4814783, 22.966177
453, Polli Parnumaa, 58.4223, 24.4061
454, Polli mõis Pärnumaa, 58.4869, 24.6614
455, Polli vald Parnumaa, 58.0122, 24.4423
456, Polli vald Pärnumaa, 58.20015, 24.73273
457, Poogle vald Parnumaa, 58.6128, 24.7635
458, Poogle vald Pärnumaa, 58.39632, 24.60668
459, Pootsi vald Pärnumaa, 58.16364, 24.64369
460, Porkuni mõis Virumaa, 59.205, 25.986
461, Porkuni vald Virumaa, 59.107, 26.232
462, Porkuni Viljandimaa, 58.7887, 25.7664
463, Pornuse vald Parnumaa, 58.3839, 24.3639
464, Pornuse Pärnumaa, 58.402, 24.876
465, Port-Kunda Virumaa, 59.459, 26.568
466, Prangli vald Tartumaa, 58.0231016, 26.6632219
467, Preedi mõis Järvamaa, 58.825, 25.307
468, Puhja kihelkond, 58.3385195, 26.2791917
469, Puhja klk., 58.36438, 26.44746
470, Puhja Tartumaa, 58.2762, 26.1975
471, Puiatu vald Viljandimaa, 58.49486, 25.64419
472, Pussi Virumaa, 59.3195, 27.3093
473, Pussi vald Virumaa, 59.3895, 27.0321
474, Puurmani vald Tartumaa, 58.521, 26.347
475, Pärnu Pärnumaa, 58.3850, 24.4976
476, Pärnumaa, 58.49796, 24.96276
477, Päti vald Pärnumaa, 58.347, 24.651
478, Pätküla vald Valgamaa, 57.97908, 26.10994
479, Pätküla Valgamaa, 57.8875, 26.2486
480, Pääsküla Harjumaa, 59.369, 24.664
481, Põltsamaa Viljandimaa, 58.65443, 25.95883
482, Põltsamaa maakond Pärnumaa, 58.5959, 25.9572
483, Põltsamaa vald Viljandimaa, 58.656, 25.971
484, Põltsamaa, 58.6527, 25.9639
485, Põlva Võrumaa, 58.06394, 27.05353
486, Pühajärve küla, 57.9816, 26.5011
487, Püssi vald Virumaa, 59.33036, 27.01854
488, Raadi Tartumaa, 58.3546, 26.7482
489, Raadi vald Tartumaa, 58.392, 26.806
490, Raama vald Pärnumaa, 58.1487, 25.4122
491, Raasiku Harjumaa, 59.3083, 25.2012
492, Rae vald Harjumaa, 59.3806, 24.9513
493, Ragavere vald Virumaa, 58.9534, 25.7035
494, Raiküla vald Harjumaa, 59.125, 24.429
495, Rakke jaamas Järvamaa, 58.9952, 26.2022
496, Rakvere vald Virumaa, 59.3551, 26.459
497, Rakvere, 59.346, 26.3584
498, Ranna vald Tartumaa, 58.1495, 27.1391
